FC,P,FDR,Color,Significance,GeneName,GeneInclude
0.539287746,0.01006484,0.067599202,#56B4E9,1.997193146,SETX,
0.183160333,0.460664401,0.698330438,#D3D3D3,0.336615348,WRNIP1,
-0.082445928,0.770699986,0.891148297,#D3D3D3,0.113114649,CATSPERD,
-0.635746003,0.082905496,0.266959254,#D3D3D3,1.08141668,PEG10,
0.167743674,0.532872004,0.749066734,#D3D3D3,0.273377096,GPRC5B,
0.220283137,0.346547014,0.60434978,#D3D3D3,0.460237839,ZFP41,
0.118717876,0.616658244,0.806889796,#D3D3D3,0.209955458,MYMX,
0.417727866,0.130005244,0.346859013,#D3D3D3,0.886039129,KRTAP10-1,
-0.088473103,0.743307203,0.876921433,#D3D3D3,0.128831659,TMEM45A,
0.405417007,0.234495267,0.487651937,#D3D3D3,0.629865918,KIF18B,
-0.474742379,0.308678018,0.567272851,#D3D3D3,0.510494297,BDKRB2,
-0.072193515,0.835156215,0.9248783,#D3D3D3,0.078232282,KDM1B,
-0.209620458,0.666775497,0.835459754,#D3D3D3,0.176020368,DPEP1,
-0.873170128,0.008715391,0.061433625,#0072B2,2.059713142,FBLN5,
0.055573895,0.874129956,0.943335965,#D3D3D3,0.058423997,NCR3LG1,
0.148397036,0.299268589,0.556579715,#D3D3D3,0.523938864,TMEM14C,
-0.12907102,0.720202057,0.864860008,#D3D3D3,0.142545643,ACE2,
-0.270255972,0.191847407,0.435482893,#D3D3D3,0.717044067,NIBAN1,
-1.377380444,0.000180411,0.003898267,#0072B2,3.743736843,RCN3,
-0.687708999,0.0209012,0.111618767,#0072B2,1.679828776,PGBD5,
-0.143987614,0.338885556,0.596544702,#D3D3D3,0.469946941,TMLHE,
-0.372091865,0.20309051,0.448844407,#D3D3D3,0.69231037,CYP4F11,
-0.138127698,0.356106663,0.612640236,#D3D3D3,0.4484199,ASS1,
-0.373766239,0.323924702,0.581912734,#D3D3D3,0.489555933,NEFH,
0.23924765,0.309499071,0.567992801,#D3D3D3,0.509340651,CCDC127,
-1.429755762,5.35E-06,0.000322323,#0072B2,5.271253133,AGTRAP,
-0.206972763,0.388063504,0.638705698,#D3D3D3,0.411097199,VN1R4,
0.772477117,0.094762053,0.289141631,#D3D3D3,1.02336554,RAD51D,
-1.286832288,3.14E-05,0.001104079,#0072B2,4.502461588,PLCD3,
-1.03446763,0.091578803,0.283257322,#D3D3D3,1.038205036,TTC22,
-0.325942222,0.052217973,0.198305929,#D3D3D3,1.282179993,TTC16,
0.033672133,0.857422456,0.935642188,#D3D3D3,0.066805147,TCHP,
-0.412102797,0.22467401,0.475770294,#D3D3D3,0.648447163,SLC5A7,
-0.004732092,0.982971716,0.994010337,#D3D3D3,0.007458979,TIMM8B,
-0.436560037,0.087155482,0.275549463,#D3D3D3,1.059705293,SLC46A1,
0.080093726,0.769664954,0.891051871,#D3D3D3,0.113698288,CAPN13,
-0.652922716,0.001731832,0.01933739,#0072B2,2.761494247,ANXA2,
-0.218402137,0.430657832,0.675387689,#D3D3D3,0.36586765,SOBP,
0.147680764,0.441985595,0.683917115,#D3D3D3,0.354591885,CWC25,
0.21519888,0.173697402,0.411569803,#D3D3D3,0.760206678,DNTTIP2,
-0.56105043,0.316221955,0.575240672,#D3D3D3,0.500007981,DBX2,
-0.819121249,0.007326313,0.054395454,#0072B2,2.135114525,ANO1,
-0.235289113,0.241419082,0.49592987,#D3D3D3,0.617228405,NFE2L1,
-0.057427861,0.70929809,0.85849264,#D3D3D3,0.149171209,METTL23,
0.721398357,0.066578589,0.230587391,#D3D3D3,1.176665412,USP12,
-0.109430841,0.572532763,0.777493126,#D3D3D3,0.242199656,TTC28,
0.717150631,0.000799133,0.011103535,#56B4E9,3.097380925,TMC6,
0.331196468,0.291031421,0.54792712,#D3D3D3,0.53606012,PPP3CA,
0.275510217,0.104347526,0.30590941,#D3D3D3,0.981517844,RBM23,
-0.219126382,0.218892567,0.469179643,#D3D3D3,0.659768986,CEACAM21,
-0.235123055,0.168461682,0.403934156,#D3D3D3,0.773498868,GUCY1A2,
-0.210216541,0.145303381,0.37065671,#D3D3D3,0.837724282,ADORA2A,
-0.573581578,0.017547862,0.099311896,#0072B2,1.755775777,ARFGAP3,
-0.056940492,0.7925111,0.90213306,#D3D3D3,0.100994646,FOXK2,
0.398485204,0.038065136,0.162504634,#D3D3D3,1.419472617,ZNF544,
0.557268453,0.037507358,0.161468458,#56B4E9,1.425883527,ARHGEF7,
-0.238645768,0.561120563,0.769435031,#D3D3D3,0.250943816,ARHGAP10,
-0.133973895,0.42555464,0.670937952,#D3D3D3,0.37104467,SNX14,
0.123558495,0.421112038,0.667483079,#D3D3D3,0.375602344,ZNF736,
-0.417176316,0.204980464,0.451187246,#D3D3D3,0.688287528,GJB1,
0.098873875,0.707302362,0.857108857,#D3D3D3,0.150394891,PKNOX1,
0.058536345,0.833161953,0.923640831,#D3D3D3,0.079270571,C12orf71,
0.307796032,0.108749306,0.312439497,#D3D3D3,0.963573505,HSPA14,
-0.915930933,0.007731608,0.056804064,#0072B2,2.111730167,ANGPTL1,
0.964229304,0.053235196,0.200273658,#D3D3D3,1.273801145,TTC21B,
0.168911226,0.504429361,0.728390972,#D3D3D3,0.297199642,SPAG6,
0.185747476,0.208423668,0.455970434,#D3D3D3,0.681052965,NPIPA1,
-0.049848276,0.758695134,0.885039298,#D3D3D3,0.119932702,SPANXA1,
-0.428794371,0.148634452,0.374228421,#D3D3D3,0.827880514,CLDN5,
0.09035503,0.697699981,0.852660103,#D3D3D3,0.156331289,CDH7,
-0.400807937,0.002922995,0.028361631,#D3D3D3,2.534171972,PARVA,
0.297173015,0.470238317,0.703905996,#D3D3D3,0.327681986,NKX1-1,
0.366555259,0.251618738,0.506301602,#D3D3D3,0.59925702,MAP1LC3A,
-0.19603657,0.321420557,0.579838054,#D3D3D3,0.492926351,IL10RA,
0.185477339,0.560730055,0.769165255,#D3D3D3,0.251246166,MEGF11,
-0.000637472,0.998124436,0.999072886,#D3D3D3,0.000815312,TPCN1,
0.265004817,0.194943164,0.439228895,#D3D3D3,0.71009199,RASA3,
-0.492618497,0.296965838,0.554367414,#D3D3D3,0.527293508,ERICH6B,
0.062591233,0.837531463,0.925926879,#D3D3D3,0.076998869,TMEM67,
-0.347082984,0.244882413,0.499183381,#D3D3D3,0.611042404,GPX8,
0.236866052,0.032025899,0.146914673,#D3D3D3,1.494498665,CYP4Z1,
1.151654369,0.002507793,0.025415721,#56B4E9,2.600708298,FMNL3,
0.013225697,0.945136978,0.977361767,#D3D3D3,0.024505245,STARD3,
-0.885150994,0.006137928,0.048251872,#0072B2,2.211978233,ITGA3,
0.006251747,0.984753598,0.994728027,#D3D3D3,0.006672424,THNSL1,
-1.110437141,9.17E-05,0.002397342,#0072B2,4.037723805,PDIA6,
0.225487453,0.237110231,0.490944792,#D3D3D3,0.625049706,RAD50,
-0.444895274,0.193277035,0.437247133,#D3D3D3,0.713819746,NDFIP2,
0.039219544,0.919329635,0.963878084,#D3D3D3,0.03652874,FAHD1,
0.280913797,0.292523683,0.549745488,#D3D3D3,0.533838968,RTF1,
-0.218645607,0.44718747,0.687798652,#D3D3D3,0.349510373,PAIP1,
0.111641827,0.765162354,0.888555679,#D3D3D3,0.116246406,SHISA6,
-0.594444283,0.0147522,0.08844781,#0072B2,1.831143222,MAGT1,
0.303526611,0.143905768,0.368376035,#D3D3D3,0.841921799,RELCH,
-0.144686939,0.145937885,0.371153934,#D3D3D3,0.835831951,WASF2,
-0.061496119,0.903196071,0.955923093,#D3D3D3,0.04421796,IDI2,
0.023796273,0.906995664,0.957977379,#D3D3D3,0.042394789,POLR2M,
0.219840665,0.346963989,0.604594031,#D3D3D3,0.459715598,YAE1,
0.059281074,0.785157591,0.898373797,#D3D3D3,0.105043166,MRPL58,
0.385447468,0.158188077,0.388587939,#D3D3D3,0.800826254,NKAP,
-0.266305658,0.063903157,0.225057744,#D3D3D3,1.194477684,THAP3,
-0.171717484,0.470477115,0.703905996,#D3D3D3,0.327461496,OR10G2,
-0.028733833,0.892711732,0.952384069,#D3D3D3,0.049288758,SCUBE2,
0.198697952,0.275228394,0.531960935,#D3D3D3,0.560306764,RBFOX1,
-0.986190356,0.000377445,0.006484658,#0072B2,3.423146893,HOXD4,
-0.811887447,0.004617526,0.039245481,#0072B2,2.335590617,GMPPA,
0.159697096,0.556015742,0.766221935,#D3D3D3,0.254912912,TMPRSS11E,
-0.482545855,0.21904209,0.469268512,#D3D3D3,0.659472425,TRAPPC13,
0.786671382,0.045482199,0.181261998,#56B4E9,1.342158542,MRGPRX2,
-0.406827264,0.210146093,0.458189166,#D3D3D3,0.67747868,HTRA1,
-0.246496381,0.313755593,0.5723605,#D3D3D3,0.503408523,UBE2R2,
0.111497158,0.658425463,0.831115177,#D3D3D3,0.181493382,RBBP6,
0.050850933,0.755499351,0.883305495,#D3D3D3,0.121765905,TXNL4B,
0.078411648,0.762874536,0.887212768,#D3D3D3,0.117546881,LHB,
0.021542785,0.885575126,0.949080822,#D3D3D3,0.05277459,OR2A4,
-0.25738348,0.435203808,0.678726037,#D3D3D3,0.361307314,MAGEB6,
-0.117921402,0.63457911,0.817932342,#D3D3D3,0.197514229,RARB,
0.379876521,0.004102092,0.035896496,#D3D3D3,2.386994654,THOC6,
-0.484894715,0.028753541,0.136535528,#D3D3D3,1.541308657,FAM162A,
-0.684336915,0.005892603,0.046805837,#0072B2,2.229692811,SEC62,
-0.37851463,0.013156689,0.081643164,#D3D3D3,1.880853395,MBTPS1,
0.042888875,0.859207403,0.936017032,#D3D3D3,0.06590199,PDE11A,
1.885513259,2.46E-07,4.06E-05,#56B4E9,6.609879068,STK17A,
0.385236177,0.17520055,0.413858306,#D3D3D3,0.756464534,RBM45,
1.164835279,0.037580882,0.161506896,#56B4E9,1.425033027,PRAG1,
0.1935832,0.60021929,0.79622951,#D3D3D3,0.221690051,PPM1L,
0.082742464,0.735840083,0.872877869,#D3D3D3,0.133216559,DTX3,
0.421259438,0.104417708,0.306008704,#D3D3D3,0.981225842,UBE2NL,
0.202781252,0.537609459,0.752524232,#D3D3D3,0.269533099,COQ4,
0.094916785,0.83136774,0.922744279,#D3D3D3,0.080206832,FBXL2,
-0.404999073,0.174814759,0.413171777,#D3D3D3,0.757421905,HYAL1,
-1.093872122,0.000161431,0.003584581,#0072B2,3.792011915,ADA2,
0.406901583,0.033791822,0.152157993,#D3D3D3,1.47118839,PRMT1,
0.118427084,0.565491866,0.772157223,#D3D3D3,0.247573638,MUCL1,
0.574875869,0.015806498,0.092500942,#56B4E9,1.801164348,ST13,
0.316202781,0.158701087,0.389507518,#D3D3D3,0.799420097,ZNF33A,
0.243258119,0.112677999,0.319200269,#D3D3D3,0.948160873,HES7,
-0.285494986,0.381936754,0.633516588,#D3D3D3,0.418008547,HOXB7,
0.200383171,0.344940656,0.60301108,#D3D3D3,0.462255615,ZNF512B,
-0.161051871,0.559591209,0.768792367,#D3D3D3,0.252129117,ATP13A3,
0.11992765,0.656745665,0.830362401,#D3D3D3,0.182602785,ZNF747,
0.333556145,0.378788904,0.631527173,#D3D3D3,0.421602751,CDH8,
